COL,CP,TIPO PENSION,EDAD,MUNICIPIO,CIUDAD
BUGAMBILIAS,35010,CE,52,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
HORIZONTE,35250,CE,49,Tlahualilo,
BERMEJILLO,35230,CE,44,Mapimí,
LOC EL VERGEL,35120,CE,40,Gómez Palacio,
LOC. 6 DE ENERO,35181,VO,28,Lerdo,
FOVISSSTE,35050,VI,53,Gómez Palacio,Gómez Palacio
INDEPENDENCIA,35700,VI,52,Nazas,
DIAZ ORDAZ,34120,CE,37,Durango,Victoria de Durango
DIAZ ORDAZ,34120,CE,37,Durango,Victoria de Durango
JARDINES DE DURANGO,34200,VE,57,Durango,Victoria de Durango
EJ EL VALLE DE EUREKA,35112,CE,33,Gómez Palacio,
HIPODROMO,34270,VE,81,Durango,Victoria de Durango
COL FRANCISCO ZARCO,34210,VI,82,Durango,Victoria de Durango
ARTEMISAS,34236,CE,52,Durango,Victoria de Durango
COL. JOSE REVUELTAS,34219,IPP,29,Durango,Victoria de Durango
SANTA MARIA,34050,VI,68,Durango,Victoria de Durango
CHAPULTEPEC,34150,VI,68,Durango,Victoria de Durango
COL. SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
PINO GORDO,34954,VI,65,Pueblo Nuevo,
BARRIO TIERRA BLANCA,34139,VE,65,Durango,Victoria de Durango
IV CENTENARIO,34150,VI,64,Durango,Victoria de Durango
HIPODROMO,34270,VI,64,Durango,Victoria de Durango
SILVESTRE DORADOR,34070,VI,64,Durango,Victoria de Durango
GUILLERMINA,34270,VE,62,Durango,Victoria de Durango
CENTRO,35000,VI,62,Gómez Palacio,Gómez Palacio
VILLA MONTEMORELOS,34371,VI,59,Durango,
ARMANDO DEL CASTILLO FRANCO,34214,VE,59,Durango,Victoria de Durango
FRACC SAN GABRIEL,34237,VE,58,Durango,Victoria de Durango
FRACC SAN GABRIEL,34237,VE,58,Durango,Victoria de Durango
NUEVO LOS ALAMOS,35027,CE,56,Gómez Palacio,Gómez Palacio
FILADELFIA,35010,CE,56,Gómez Palacio,Gómez Palacio
HUIZACHE I,34160,CE,56,Durango,Victoria de Durango
SILVESTRE DORADOR,34070,VE,55,Durango,Victoria de Durango
LOC LAS MASITAS,35115,CE,55,Gómez Palacio,
9 DE JULIO,34123,CE,55,Durango,Victoria de Durango
FRACC FLORENCIA,34208,VI,54,Durango,Victoria de Durango
COL. TIERRA Y LIBERTAD,34127,VE,54,Durango,Victoria de Durango
MORGA,34010,CE,54,Durango,Victoria de Durango
ALVARO OBREGON,34946,CE,54,Pueblo Nuevo,El Salto
MEXICANA,34950,CE,53,Pueblo Nuevo,
ARMANDO DEL CASTILLO,34214,VE,52,Durango,Victoria de Durango
HE3CTOR MAYAGOITIA DOMINGUEZ,34010,CE,52,Durango,Victoria de Durango
ARMANDO DEL CASTILLO FRANCO,35166,CE,51,Lerdo,Ciudad Lerdo
CANELAS,34290,CE,51,Durango,Victoria de Durango
COL. VALLE DEL GUADIANA,34166,CE,51,Durango,Victoria de Durango
ESTACION,34700,VI,50,Guadalupe Victoria,
LOC NAVACOYAN,34304,CE,50,Durango,
HUIZACHE II,34160,CE,49,Durango,Victoria de Durango
SAN ANTONIO,35015,IN,49,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34000,CE,48,Durango,Victoria de Durango
EL POLVORIN,35163,CE,48,Lerdo,Ciudad Lerdo
JUAN E. GARCIA,35174,CE,47,Lerdo,
CAMPILLO SAENZ,35079,IN,47,Gómez Palacio,Gómez Palacio
CAMPILLO SAENZ,35079,IN,47,Gómez Palacio,Gómez Palacio
CALERAS,34000,CE,44,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,IN,43,Gómez Palacio,Gómez Palacio
EL FOCE,35068,CE,41,Gómez Palacio,Gómez Palacio
LA ULAMA,35400,VE,39,Guanaceví,
FRACC SAN ALBERTO,35015,IPP,39,Gómez Palacio,Gómez Palacio
OTILIO MONTAﾃ前,35049,VO,39,Gómez Palacio,Gómez Palacio
PANUCO DE CORONADO,34780,CE,36,Pánuco de Coronado,Francisco I. Madero
RODOLFO FIERRO,35045,CE,36,Gómez Palacio,Gómez Palacio
CENTRO,34420,VE,34,Nuevo Ideal,
FRACC CASTILAGUA,35158,IN,34,Lerdo,Ciudad Lerdo
ABRAHAM ROSALES,35019,CE,30,Gómez Palacio,Gómez Palacio
J. GUADALUPE RODRIGUEZ,34280,VE,29,Durango,Victoria de Durango
LOS ALAMOS,35020,VE,58,Gómez Palacio,Gómez Palacio
JOSE LOPEZ PORTILLO,35026,VI,54,Gómez Palacio,Gómez Palacio
CENTRO,35000,CE,54,Gómez Palacio,Gómez Palacio
DURANGO NUEVO II,34188,VI,45,Durango,Victoria de Durango
CENTRO,35150,IN,45,Lerdo,Ciudad Lerdo
LOC EL VERGEL,35120,CE,40,Gómez Palacio,
LOC. 6 DE ENERO,35181,VO,28,Lerdo,
FOVISSSTE,35050,VI,53,Gómez Palacio,Gómez Palacio
INDEPENDENCIA,35700,VI,52,Nazas,
VALLE DEL SUR,34120,CE,49,Durango,Victoria de Durango
LOC. IGNACIO ZARAGOZA,34770,IPP,31,Pánuco de Coronado,
SAN CARLOS,34168,CE,52,Durango,Victoria de Durango
JARDINES DE DURANGO,34200,VE,57,Durango,Victoria de Durango
VILLA JARDIN,35168,CE,49,Lerdo,Ciudad Lerdo
EJ EL VALLE DE EUREKA,35112,CE,33,Gómez Palacio,
VALLE DEL NAZAS,35070,VE,30,Gómez Palacio,Gómez Palacio
LOC FRANCISCO PRIMO DE VERDAD,34486,CE,80,San Juan del Río,
NUEVO REFUGIO,35028,IPT,14,Gómez Palacio,Gómez Palacio
NUEVA VIZCAYA,34080,VE,70,Durango,Victoria de Durango
SAN MARTIN DE PORRES,34030,VE,65,Durango,Victoria de Durango
BARRIO TIERRA BLANCA,34139,VE,65,Durango,Victoria de Durango
LAS FLORES,35155,VI,60,Lerdo,Ciudad Lerdo
VILLA MONTEMORELOS,34371,VI,59,Durango,
MORGA,34010,CE,55,Durango,Victoria de Durango
AMPLIACION ROSAS DEL TEPEYAC,34029,CE,54,Durango,Victoria de Durango
FRACC CANELAS,34290,CE,54,Durango,Victoria de Durango
HECTOR MAYAGOITIA DOMINGUEZ,34010,CE,54,Durango,Victoria de Durango
VICENTE GUERRERO,34948,CE,54,Pueblo Nuevo,El Salto
GOBERNADORES,34045,VI,54,Durango,Victoria de Durango
EL CENTENARIO,35139,CE,53,Gómez Palacio,
HECTOR MAYAGOITIA DOMINGUEZ,34010,CE,53,Durango,Victoria de Durango
EJ VENECIA,35111,CE,52,Gómez Palacio,
EL DORADO,35029,CE,52,Gómez Palacio,Gómez Palacio
BENITO JUAREZ,34120,CE,52,Durango,Victoria de Durango
LOC COLONIA HIDALGO,34304,CE,51,Durango,
CHAVARRIA NUEVO,34955,IG,51,Pueblo Nuevo,
"LOC. CD. JUAREZ,DGO.",35180,CE,51,Lerdo,
FRACC. SAN FELIPE,35158,CE,51,Lerdo,Ciudad Lerdo
CAMPILLO SAINZ,35079,CE,50,Gómez Palacio,Gómez Palacio
LA PUERTA,34950,IPP,50,Pueblo Nuevo,
CENTRO,34000,AS,49,Durango,Victoria de Durango
VALLE DEL NAZAS,35070,CE,49,Gómez Palacio,Gómez Palacio
BARRIO DE TIERRA BLANCA,34139,CE,49,Durango,Victoria de Durango
SANTA ROSA,35040,CE,49,Gómez Palacio,Gómez Palacio
JERUSALEM,35067,CE,48,Gómez Palacio,Gómez Palacio
HUIZACHE I,34160,CE,48,Durango,Victoria de Durango
LOC. VELARDEﾃ羨,35810,VE,47,Cuencamé,
COL VIZCAYA,34670,IN,47,San Dimas,
BELLAVISTA,35050,CE,46,Gómez Palacio,Gómez Palacio
LOC 28 DE MAYO,34776,CE,45,Pánuco de Coronado,
LAZARO CARDENAS,35167,CE,45,Lerdo,Ciudad Lerdo
FIDEL VELAZQUEZ,35025,IN,44,Gómez Palacio,Gómez Palacio
ADOLFO LOPEZ MATEOD,34210,CE,43,Durango,Victoria de Durango
SANTA LUCIA,34465,VE,42,Canatlán,
LOC SANTA LUCIA,34465,VE,42,Canatlán,
FRACC. MORELOS,35026,CE,42,Gómez Palacio,Gómez Palacio
GPE VICTORIA,35044,CE,41,Gómez Palacio,Gómez Palacio
FILADELFIA,35010,IN,40,Gómez Palacio,Gómez Palacio
BENITO JUAREZ,34167,VO,38,Durango,Victoria de Durango
VILLA NAPOLES,35018,CE,36,Gómez Palacio,Gómez Palacio
MIGUEL DE LA MADRID,34046,CE,36,Durango,Victoria de Durango
SILVESTRE DORADOR,34070,VE,35,Durango,Victoria de Durango
LOC. VELARDEﾃ羨,35810,CE,35,Cuencamé,
MIGUEL DE LA MADRID,34046,VI,34,Durango,Victoria de Durango
SAN FRANCISCO,34950,CE,32,Pueblo Nuevo,
VIZCAYA,34670,VO,30,San Dimas,
CENTRO,35000,VI,69,Gómez Palacio,Gómez Palacio
MONTE BELLO,35157,CE,54,Lerdo,Ciudad Lerdo
FRACC. FIDEL VELAZQUEZ,35025,CE,53,Gómez Palacio,Gómez Palacio
BUGAMBILIAS,35010,CE,52,Gómez Palacio,Gómez Palacio
CENTRO,35000,CE,50,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
AMPLIACION LAZARO CARDENAS,35064,IN,45,Gómez Palacio,Gómez Palacio
BERMEJILLO,35230,CE,44,Mapimí,
FRACC. VELAZQUEZ,35025,CE,43,Gómez Palacio,Gómez Palacio
BUGAMBILIAS,35010,AS,35,Gómez Palacio,Gómez Palacio
VILLA JARDIN,35168,CE,49,Lerdo,Ciudad Lerdo
CENTRO,35150,VI,42,Lerdo,Ciudad Lerdo
CAMPILLO SAINZ,35079,VE,31,Gómez Palacio,Gómez Palacio
EJIDO CENTRO,35800,VI,31,Cuencamé,
FRACC NIﾃ前S HEROES,34128,CE,60,Durango,Victoria de Durango
VALLE DEL SUR,34120,CE,53,Durango,Victoria de Durango
VILLA JARDIN,35157,VI,58,Lerdo,Ciudad Lerdo
COL. 16 DE SEPTIEMBRE,34030,CE,53,Durango,Victoria de Durango
LOC. VELARDEﾃ羨,35810,VI,40,Cuencamé,
JUAREZ,34950,VI,68,Pueblo Nuevo,
FRACC. GPE. VICTORIA,34220,VI,68,Durango,Victoria de Durango
LA AMISTAD,34957,VI,67,Pueblo Nuevo,
SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
HIPODROMO,34270,VI,67,Durango,Victoria de Durango
LA PALANGANA,34670,VI,66,San Dimas,
COL. BODQUES DEL NAYAR,34187,VE,65,Durango,Victoria de Durango
MORGA,34010,VI,65,Durango,Victoria de Durango
HIPODROMO,34270,VI,64,Durango,Victoria de Durango
LAS ROSAS,35090,VO,63,Gómez Palacio,Gómez Palacio
HORIZONTE,35250,VI,62,Tlahualilo,
HACIENDAS EL REFUGIO,35029,VI,62,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34000,VI,61,Durango,Victoria de Durango
LOS ALAMOS,35020,VI,60,Gómez Palacio,Gómez Palacio
BRITTINGHAM,35030,VI,59,Gómez Palacio,Gómez Palacio
VILLA DE GUADALUPE,34040,VI,59,Durango,Victoria de Durango
FRANCISCO ZARCO,35050,VE,59,Gómez Palacio,Gómez Palacio
JARDINES DE DURANGO,34200,VE,57,Durango,Victoria de Durango
EMILIANO ZAPATA,34230,VI,56,Durango,Victoria de Durango
ATENAS,34100,VE,56,Durango,Victoria de Durango
FRACC HUIZACHE I,34160,VI,56,Durango,Victoria de Durango
ARROYO SECO,34125,CE,53,Durango,Victoria de Durango
FRACC CANELAS,34290,CE,53,Durango,Victoria de Durango
SANTA ROSA,35000,CE,52,Gómez Palacio,Gómez Palacio
EL CAMPESTRE,35080,CE,52,Gómez Palacio,Gómez Palacio
ESMERALDA,35133,CE,51,Gómez Palacio,
LOS ALAMOS INFONAVIT,35020,CE,51,Gómez Palacio,Gómez Palacio
VICENTE GUERRERO,34948,CE,51,Pueblo Nuevo,El Salto
EJ EL VALLE DE EUREKA,35112,VI,50,Gómez Palacio,
ESTACION,34700,VI,50,Guadalupe Victoria,
EJIDO PROVIDENCIA,35103,VE,50,Gómez Palacio,
FRACC. GUADALUPE,34220,CE,50,Durango,Victoria de Durango
FRACC. GUADALUPE,34220,CE,50,Durango,Victoria de Durango
GUADALUPE,34200,CE,50,Durango,Victoria de Durango
LOC EL VERGEL,35120,CE,50,Gómez Palacio,
FIDEL VELAZQUEZ,35025,IN,50,Gómez Palacio,Gómez Palacio
LOC. HEROES DE NACOZARI,34348,VI,49,,
FRACC. GUADALUPE VICTORIA INFONAVIT,34220,CE,49,Durango,Victoria de Durango
NIﾃ前S HEROES,35017,IPP,49,Gómez Palacio,Gómez Palacio
MIGUEL DE LA MADRID HURTADO,35015,VI,48,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,48,Gómez Palacio,Gómez Palacio
JERUSALEM,35067,CE,48,Gómez Palacio,Gómez Palacio
JUAN E. GARCIA,35174,CE,47,Lerdo,
EL DORADO,35028,CE,47,Gómez Palacio,Gómez Palacio
FRACC FIDEL VELAZQUEZ I,34229,VE,46,Durango,Victoria de Durango
J GPE RODRIGUEZ,34280,CE,46,Durango,Victoria de Durango
HECTOR MAYAGOITIA,35050,CE,46,Gómez Palacio,Gómez Palacio
,00nan,CE,46,,
FRACC LOS VIﾃ薦DOS,34220,VI,46,Durango,Victoria de Durango
SANTA ROSA,35040,IPP,46,Gómez Palacio,Gómez Palacio
EL FOCE,35068,IN,45,Gómez Palacio,Gómez Palacio
JERUSALEM,35067,VI,45,Gómez Palacio,Gómez Palacio
LOC VENCEDORES,34680,CE,44,San Dimas,
ARNULFOR GOMEZ,34439,VI,43,,
16 DE SEPTIEMBRE,34030,CE,43,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,IN,43,Gómez Palacio,Gómez Palacio
JARDINES DE DURANGO,34200,VE,42,Durango,Victoria de Durango
FRACC. RINC. TORREMOLINOS,35017,IN,40,Gómez Palacio,Gómez Palacio
FRACC SAN ALBERTO,35015,IPP,39,Gómez Palacio,Gómez Palacio
JARDINES DE DURANGO,34200,CE,38,Durango,Victoria de Durango
RESIDENCIAL SAN ALBERTO,35010,IN,38,Gómez Palacio,Gómez Palacio
DONATO GUERRA,34406,VE,36,Canatlán,
VILLA LAS NOAS,35023,IN,36,Gómez Palacio,Gómez Palacio
CENTRO,34420,VE,34,Nuevo Ideal,
LOC. EL PILAR DE ZARAGOZA,34307,VI,34,Durango,
FRACC CASTILAGUA,35158,IN,34,Lerdo,Ciudad Lerdo
FRAC PASO REAL,34000,CE,32,Durango,Victoria de Durango
DEL VALLE,35157,VO,32,Lerdo,Ciudad Lerdo
FRACC. SAN JUAN,34205,AS,31,Durango,Victoria de Durango
FRACC. PASO REAL,34204,VO,30,Durango,Victoria de Durango
CENTRO,35150,IN,30,Lerdo,Ciudad Lerdo
FRACC BUGAMBILIAS,34234,IN,29,Durango,Victoria de Durango
LOC LOS CUATILLOS,35810,VO,28,Cuencamé,
HORIZONTE,35250,VE,58,Tlahualilo,
EL DORADO,35028,VO,56,Gómez Palacio,Gómez Palacio
EL AMIGO,35030,CE,54,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,54,Gómez Palacio,Gómez Palacio
LERDO,35150,CE,53,Lerdo,Ciudad Lerdo
CENTRO,35000,CE,52,Gómez Palacio,Gómez Palacio
VILLA NAPOLES,35010,CE,51,Gómez Palacio,Gómez Palacio
LAS JULIETAS,27296,CE,45,,
CENTRO,35150,IN,45,Lerdo,Ciudad Lerdo
FRACC. GUADALUPE,34220,VI,59,Durango,Victoria de Durango
INDEPENDENCIA,35700,VI,52,Nazas,
FRACC CANELAS,34290,CE,51,Durango,Victoria de Durango
ZONA CENTRO,34000,AS,27,Durango,Victoria de Durango
FRACC QINTAS DEL REAL,34228,IN,45,Durango,Victoria de Durango
JARDINES DE DURANGO,34200,VE,57,Durango,Victoria de Durango
JARDINES DE DURANGO,34200,VE,71,Durango,Victoria de Durango
ZONA CENTRO,34000,CE,100,Durango,Victoria de Durango
FRACC. LOS REMEDIOS,34100,CE,49,Durango,Victoria de Durango
SAN FELIPE DGO,35118,CE,51,Gómez Palacio,
NUEVA ESPERANZA,35600,VO,49,Tepehuanes,
SAN DANIEL,35156,CE,49,Lerdo,Ciudad Lerdo
LA POPULAR,35130,VO,36,Gómez Palacio,
SANTA ELENA,27294,VE,44,,
SANTA ELENA,27294,VE,44,,
COL SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
LOC LAGUNA DEL PROGRESO,34695,VE,63,San Dimas,
CENTRO,35150,VI,61,Lerdo,Ciudad Lerdo
SAN MARCOS,34208,VE,61,Durango,Victoria de Durango
LUZ DEL CARMEN,34164,VE,60,Durango,Victoria de Durango
FRACC LOMA DORADA DIAMANTE,34205,VE,60,Durango,Victoria de Durango
ZARAGOZA,35250,VI,59,Tlahualilo,
FRACC CANELAS,34290,VE,59,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VI,59,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VO,59,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VE,59,Durango,Victoria de Durango
J GPE RODRIGUEZ,00003,VO,58,,
LOC. SAN JACINTO,35175,VE,58,Lerdo,
LUCIO CABAﾃ羨S,34140,CE,55,Durango,Victoria de Durango
FRACC LOS MANZANOS,34409,CE,55,,
RINCONADAS HAMBURGO,35018,CE,55,Gómez Palacio,Gómez Palacio
LA FERRERIA,34131,VO,55,,
SILVESTRE DORADOR,34070,VE,54,Durango,Victoria de Durango
NUEVA LOS ALAMOS,35027,VE,54,Gómez Palacio,Gómez Palacio
FLORES DE CANCUN,34167,CE,54,Durango,Victoria de Durango
JARDINES DE CANCUN,34167,CE,54,Durango,Victoria de Durango
FILADELFIA,35010,VE,53,Gómez Palacio,Gómez Palacio
EL NAYAR,34303,CE,53,Durango,
9 DE JULIO,34123,CE,53,Durango,Victoria de Durango
MIGUEL DE LA MADRID,35015,CE,52,Gómez Palacio,Gómez Palacio
AMPL SANTA ROSA,35047,CE,52,Gómez Palacio,Gómez Palacio
FRACC. HUIZACHEZ I,34160,CE,51,Durango,Victoria de Durango
LUCIO CABAﾃ羨S,34140,CE,51,Durango,Victoria de Durango
SANTA ROSA,35040,CE,51,Gómez Palacio,Gómez Palacio
EJIDO SAN SEBASTIAN,35140,VI,50,Gómez Palacio,
BRITTINGHAM,35030,CE,50,Gómez Palacio,Gómez Palacio
MIGUEL DE LA MADRID,35015,CE,50,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA DOMINGUEZ,34010,CE,49,Durango,Victoria de Durango
ZONA CENTRO,34000,VI,48,Durango,Victoria de Durango
CESAR GUILLERMO MERAZ,35169,CE,47,Lerdo,Ciudad Lerdo
JARDINES DE DURANGO,34200,VE,46,Durango,Victoria de Durango
LOC POANAS,35105,VI,46,Gómez Palacio,
AZCAPOTZALCO,34160,CE,45,Durango,Victoria de Durango
FRACC SAN JUAN,34205,IN,45,Durango,Victoria de Durango
ASENTAMIENTOS HUMANOS,34145,VO,44,Durango,Victoria de Durango
COL 16 DE SEPTIEMBRE,34030,VI,43,Durango,Victoria de Durango
FRACC FIDEL VELAZQUEZ I,34229,CE,43,Durango,Victoria de Durango
JOSE ANGEL LEAL,34206,CE,43,Durango,Victoria de Durango
EJIDAL,34187,IG,42,Durango,Victoria de Durango
DIVISION DEL NORTE,34140,VI,40,Durango,Victoria de Durango
LOC. PEDRICEﾃ羨,35812,VE,40,,
AMPL. SANTA ROSA,35047,IPT,40,Gómez Palacio,Gómez Palacio
RUBEN JARAMILLO,35040,VI,40,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,IN,36,Gómez Palacio,Gómez Palacio
DIVISION DEL NORTE,34140,VE,35,Durango,Victoria de Durango
SAN ISIDRO,34950,CE,35,Pueblo Nuevo,
ASENTAMIENTOS HUMANOS,34145,IPP,34,Durango,Victoria de Durango
LUIS DONALDO COLOSIO,35025,VO,34,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34000,AS,33,Durango,Victoria de Durango
JOSE MARIA MORELOS Y PAVON SUR,34197,CE,31,Durango,Victoria de Durango
MAXIMO GAMIZ,34230,AS,31,Durango,Victoria de Durango
FRACC CANELAS,34290,IPP,28,Durango,Victoria de Durango
CENTRO,35000,VI,63,Gómez Palacio,Gómez Palacio
PLACIDO DOMINGO,35159,VI,55,Lerdo,Ciudad Lerdo
FRACC BENITO JUAREZ,34167,CE,54,Durango,Victoria de Durango
BERMEJILLO,35230,VE,53,Mapimí,
LOC. LA GOMA,35175,VE,52,Lerdo,
20 DE NOVIEMBRE,35155,CE,52,Lerdo,Ciudad Lerdo
LOC. SEIS DE ENERO,35181,VO,28,Lerdo,
CENTRO,35800,CE,45,Cuencamé,
JOSE REVUELTAS,34219,IN,44,Durango,Victoria de Durango
FRACC CHAPUULTEPEC,34150,VI,62,Durango,Victoria de Durango
PERIODISTA,32170,IN,38,,
ZONA CENTRO,35150,CE,51,Lerdo,Ciudad Lerdo
JARDINES DE DURANGO,34200,VE,71,Durango,Victoria de Durango
CD INDUSTRIAL,34229,CE,70,Durango,Victoria de Durango
FRACC. LOS REMEDIOS,34100,CE,49,Durango,Victoria de Durango
SAN FELIPE DGO,35118,CE,51,Gómez Palacio,
LA POPULAR,35130,VO,36,Gómez Palacio,
IGNACIO ZARAGOZA,34277,VE,62,Durango,Victoria de Durango
LUZ Y ESPERANZA,34000,VI,68,Durango,Victoria de Durango
COL SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
COL SAN MARTIN DE PORRES,34030,VI,67,Durango,Victoria de Durango
BOSQUES DEL NAYAR,34187,VE,65,Durango,Victoria de Durango
MORELOS,34950,CE,65,Pueblo Nuevo,
LOC LAGUNA DEL PROGRESO,34695,VE,63,San Dimas,
CENTRO,35150,VI,61,Lerdo,Ciudad Lerdo
LUZ DEL CARMEN,34164,VE,60,Durango,Victoria de Durango
ZARAGOZA,35250,VI,59,Tlahualilo,
TIERRA Y LIBERTAD,34127,VO,59,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VE,59,Durango,Victoria de Durango
FRACC SAN LUIS,34220,VE,56,Durango,Victoria de Durango
EL VERGELITO,35128,CE,56,Gómez Palacio,
COL. TIERRA Y LIBERTAD,34127,CE,56,Durango,Victoria de Durango
COL TIERRA Y LIBERTAD,34127,CE,56,Durango,Victoria de Durango
LUCIO CABAﾃ羨S,34140,CE,55,Durango,Victoria de Durango
RINCONADAS HAMBURGO,35018,CE,55,Gómez Palacio,Gómez Palacio
LA FERRERIA,34131,VO,55,,
SILVESTRE DORADOR,34070,VE,54,Durango,Victoria de Durango
FRANCISCO PEREZ RIOS,35077,CE,54,Gómez Palacio,Gómez Palacio
FRANCISCO PEREZ RIOS,35077,CE,54,Gómez Palacio,Gómez Palacio
VENECIA DGO,35111,VI,53,Gómez Palacio,
FILADELFIA,35010,VE,53,Gómez Palacio,Gómez Palacio
BENIGNO MONTOYA,34195,CE,53,Durango,Victoria de Durango
9 DE JULIO,34123,CE,53,Durango,Victoria de Durango
BARRIO DE TIERRA BLANCA,34139,CE,52,Durango,Victoria de Durango
ZONA CENTRO,34000,CE,52,Durango,Victoria de Durango
MIGUEL DE LA MADRID,35015,CE,52,Gómez Palacio,Gómez Palacio
AMPL SANTA ROSA,35047,CE,52,Gómez Palacio,Gómez Palacio
LOC. CD. JUAREZ,35180,CE,51,Lerdo,
FRACC. HUIZACHEZ I,34160,CE,51,Durango,Victoria de Durango
LUCIO CABAﾃ羨S,34140,CE,51,Durango,Victoria de Durango
FRACC. VEREDAS DE SANTA RITA,35049,CE,51,Gómez Palacio,Gómez Palacio
CENTRO,35000,CE,51,Gómez Palacio,Gómez Palacio
EL REFUGIO,35029,CE,51,Gómez Palacio,Gómez Palacio
EJIDO SAN SEBASTIAN,35140,VI,50,Gómez Palacio,
BARRIO DE TIERRA BLANCA,34139,CE,50,Durango,Victoria de Durango
FRACC CANELAS,34290,CE,48,Durango,Victoria de Durango
PASTOR ROAUIX,35133,CE,47,Gómez Palacio,
DOM CONOCIDO,35960,CE,46,General Simón Bolívar,
CAMPESTRE LA ROSITA,27000,CE,45,,
SANTA ROSA,35040,CE,44,Gómez Palacio,Gómez Palacio
AMPLIACION PRI,34017,CE,44,Durango,Victoria de Durango
COL 16 DE SEPTIEMBRE,34030,VI,43,Durango,Victoria de Durango
JOSE ANGEL LEAL,34206,CE,43,Durango,Victoria de Durango
EJIDAL,34187,IG,42,Durango,Victoria de Durango
SANTA ROSA,35064,VI,42,Gómez Palacio,Gómez Palacio
SANTA FE,34240,CE,41,Durango,Victoria de Durango
